images,x,y
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.5,1#0.39___0#0.49,9#0.4,8#0.08___2014年09月25日09时26分IM002761.JPG",259.78,314.1
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.5,2#0.25___0#0.8,4#0.19,21#0.01___LLH19550125_20170427_172354_Color_L_001.jpg",305.74,285.5
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.5,2#0.32___0#0.97,8#0.02,1#0.0___2013年07月11日11时14分IM006582.JPG",200.13,300.08
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.6,1#0.4___0#1.0,1#0.0___0#0.55,4#0.15,24#0.09___2015年05月22日11时00分IM004030.JPG",256.45,315.66
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.6,1#0.14___0#0.64,4#0.16,9#0.15___CYH19410910_20161124_113023_Color_L_001.jpg",295.74,272.58
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.6,2#0.29___0#0.98,4#0.02,1#0.0___sxz19521127_20161027_095703_Color_L_001.jpg",295.74,275.5
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.6,3#0.23___0#0.44,4#0.39,25#0.05___2017年05月16日10时29分IM000940.JPG",306.93,302.9
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.6,3#0.24___0#0.99,11#0.01,1#0.0___2013年06月11日10时14分IM004807.JPG",239.97,334.36
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.7,1#0.21___0#0.62,9#0.31,4#0.03___2017年02月21日09时54分IM002929.JPG",263.9,311.13
"/media/ubuntu/data2/Fover_center/DR2_DR3_500/preprocess512/0#0.7,2#0.16___0#0.96,21#0.04,1#0.0___WSX19621116_20170329_160622_Color_L_001.jpg",313.3,272.82
