images,x,y
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_001.jpg,180.35,336.99
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_002.jpg,296.7,241.94
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_003.jpg,275.95,245.17
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_004.jpg,361.9,260.3
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_005.jpg,297.42,253.06
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_006.jpg,251.05,275.28
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_007.jpg,264.39,246.43
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_008.jpg,285.92,239.66
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_009.jpg,244.8,251.82
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_010.jpg,141.53,278.74
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_011.jpg,323.82,267.12
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_012.jpg,306.82,276.25
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_013.jpg,188.73,268.28
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_014.jpg,217.01,315.34
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_015.jpg,263.51,240.31
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_016.jpg,292.7,270.92
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_017.jpg,234.93,269.77
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_018.jpg,186.26,266.54
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_019.jpg,241.83,286.21
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_020.jpg,242.05,240.76
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_021.jpg,250.38,244.98
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_022.jpg,225.96,283.13
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_023.jpg,248.13,277.52
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_024.jpg,282.17,246.38
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_025.jpg,231.77,270.48
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_026.jpg,288.52,242.41
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_027.jpg,263.31,258.54
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_028.jpg,268.54,263.61
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_029.jpg,208.23,315.11
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_030.jpg,309.58,248.48
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_031.jpg,178.87,304.48
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_032.jpg,286.05,222.97
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_033.jpg,240.94,301.03
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_034.jpg,260.99,236.86
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_035.jpg,241.89,308.48
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_036.jpg,320.31,297.97
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_037.jpg,180.12,290.55
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_038.jpg,269.07,243.2
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_039.jpg,225.29,263.53
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_040.jpg,289.26,244.17
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_041.jpg,259.51,320.24
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_042.jpg,254.66,229.0
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_043.jpg,283.42,258.61
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_044.jpg,294.98,225.08
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_045.jpg,267.76,285.19
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_046.jpg,239.56,305.33
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_047.jpg,231.24,322.31
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_048.jpg,283.08,257.57
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_049.jpg,249.61,279.01
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_050.jpg,302.07,269.27
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_051.jpg,295.05,267.57
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_052.jpg,259.51,248.6
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_053.jpg,271.88,244.74
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_054.jpg,265.8,239.07
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_055.jpg,239.82,294.82
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_056.jpg,314.43,278.27
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_057.jpg,220.35,280.58
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_058.jpg,322.02,261.38
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_059.jpg,221.6,247.42
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_060.jpg,314.94,278.52
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_061.jpg,180.81,268.12
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_062.jpg,173.02,279.59
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_063.jpg,271.45,241.9
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_064.jpg,164.45,261.45
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_065.jpg,188.62,260.31
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_066.jpg,227.06,266.44
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_067.jpg,167.05,220.21
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_068.jpg,251.3,289.33
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_069.jpg,177.12,258.61
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_070.jpg,306.25,277.49
/media/ubuntu/data2/Fover_center/IDRID/preprocess512/TrainingSet/IDRiD_071.jpg,184.74,271.0
