images,x,y
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/7fb5af47f32c8ac14a9c94f18b54634419313494#cb2d3454-c49a-46aa-ab21-868fef501385.1.jpg,54.15,177.04
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/e8e113ec696387fb1a78c4e2ae23cfe6dd34810a#49c52f51-0595-428c-98b3-105d398ecd45.3.jpg,177.95,203.11
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/4fe6e51614a236b9b35f2f00a26dc07154b62fde#70c6e2cc-7640-4797-a660-f82e85ca219f.8.jpg,285.93,207.91
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/083460d8584078185d635d1e2629132717dfa3e4#0333c2c4-b411-41b2-b5ca-31666d83bca0.5.jpg,82.39,204.85
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/dea8e22d9009b7f41bd5180d3fcb51c01ac9e130#e06d5c0e-374a-4cb6-b2f7-86bf6ad1cf8e.5.jpg,114.24,228.85
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/2ff53a05ec08d137b0dd6364f5b4a7f46084f899#0d65ca52-0eab-436e-ad95-1b0ef3429ba2.2.jpg,73.85,166.01
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/de0787ba5f99150c59fe0c9e4ee0084f6b5b3c7d#a9263fb2-38dd-4400-a1f2-bc02474763c6.16.jpg,335.32,190.61
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/53262e5dfc44d38a0e3440838c96f6e67f0bd277#c6fd56a2-7a07-40bd-822b-9d29a5458e02.1.jpg,229.77,194.99
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/fda91b2c680137a2f98184b1dca9734d315a3781#12bb37b9-eda1-4313-901b-2deca055d1b2.6.jpg,126.85,102.58
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/b0d6d19a84c13c0dd611f1aa23b004f85b27f549#1a04180c-7b52-47d2-aa30-ec8874c407af.1.jpg,112.49,197.0
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/d560b6f3af468914ac038cd11310045641e12aa7#7d6e84a2-eb31-4d01-9466-35b8c662b291.19.jpg,151.38,189.74
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/f32afdeacfc5d26258ff109a5c8dea5eae88b3c7#6764eb7f-3142-4b0c-8221-ec2ff3124495.9.jpg,352.35,195.45
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/0634d3431e618057275a6bf8bbbc9288367c8398#b843e9e5-58c3-49ea-a1dc-d443e68d9926.10.jpg,151.84,181.62
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/86b14352e704d52378dbf1128ce07a0dbc02d5f9#50ae8166-e7cc-460f-b3d3-24b41c82e097.7.jpg,113.62,196.73
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/89b6a41a6a6c64a0fdd5a8102707eaa604b48dda#05868a24-1076-4814-9d2f-943b59cf57b7.27.jpg,207.48,213.3
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/16cab87d9731983ca406c1e9980db5fe1de33bff#7a7dfcf5-816f-4ba2-9f7f-9473002dff24.15.jpg,72.11,257.18
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/e82be4174924d9844ab5cd534a06cb6795e8fee3#899b2c81-8250-4e8f-9262-fe58620cd795.1.jpg,96.79,138.96
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/74e507fee98e4ea85ed987db076cea9b9687f896#28117fe1-10f7-434b-8b67-61ff38e54280.5.jpg,98.15,208.41
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/183c9a3df41baa2caa17524ab2a9f15e91aea597#b6d80dbf-669f-447e-92a5-98900b3351ce.28.jpg,201.62,215.84
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/99458faa22605d99014158a0960f775d4bcda593#69554309-6dbd-48c4-888f-5e260e5b0c99.13.jpg,196.28,208.34
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/8a8aefb4c50bd7422e458bc8bc8a0ec4fd1da927#4af883d7-5bca-4f3b-89b6-bebc7953c1c4.18.jpg,165.38,164.91
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/0cf4efee641346d99669f430d112807cd25cb693#20d9dd7a-9773-43fa-b4f6-5f6089be2327.1.jpg,210.0,186.52
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/38b7a18607d90f268413915086a73ccc0919d916#0e071be8-5d04-4cac-a868-c4cdf1d12f10.1.jpg,145.27,183.47
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/57363f07a224238a6f5c49633c40d6a419779bf9#502b0085-5d91-45e3-91db-a47525a0deed.8.jpg,333.73,227.98
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/4ebb3fd6e0044db2e677712c8cd7143c1ab7f5a0#86a4822a-3c79-45de-8240-9472485f7edf.11.jpg,194.74,265.06
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/65af13491953b7a4dbf39ed7abf1af4218504448#3e5f640e-6195-44dc-beeb-2605aed5f6c6.4.jpg,230.96,183.4
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/2558beab01af6065fb16dcc3fccfdaacfdaa5e49#d4a7947e-d273-4a4c-beb1-10e0959a9111.7.jpg,172.84,187.55
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/d196149e738bebb6737942404491e46e3be47095#6fb9426c-8c5b-44d6-82ad-517161799d7c.1.jpg,219.26,204.63
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/3ef7d4614270a19726b7e6a8bf0f920df979631d#458ae04b-fca1-455d-b0b1-40652e9d399a.13.jpg,198.36,179.67
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/e18113c0e6d673d7dc072fdf2b55ba6b80967ab0#bd8881b3-4dfb-48c5-9200-dfb04a7cf726.9.jpg,66.9,184.33
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/155634e7847705c98a3a70d6b73a456de948c2eb#947aa151-d566-4ce5-aecf-bd42e01f009a.7.jpg,187.73,191.49
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/f280a26042b57010686fe7c9a9959eac70dee537#c26a53c6-e385-4bc2-a93a-3b9b43f09897.4.jpg,96.98,159.27
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/f2caa426285c8bd548ede92bcaeb173b632b2df3#aab61721-b734-474e-9608-f63b624f305b.1.jpg,104.96,173.09
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/607f7bd07d302ef5751721d168318f8570597fb1#0b0d8855-c0a2-4f70-9a17-63db0f0a7e0b.7.jpg,40.73,165.62
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/dcf99a137532853880e25849d6d80b3c0613e30b#8261cffb-76fa-48c8-a387-c5cf1294017e.6.jpg,86.12,250.61
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/73cfd60615dcd356e162ff9ba36190ad2376daff#29a5d891-b9bb-4ffb-ac95-844344574cf8.1.jpg,171.48,183.08
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/8219d5ab87115fd8d4bb05076ec85b4bd3615577#30677822-158d-4cd3-a2db-73a8355a468b.10.jpg,291.4,218.38
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/a40edfbdc15100fcee45c33db278eb67f8a47ff4#1c1312c7-6d76-4adc-b322-504e259b4e55.1.jpg,55.77,162.96
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/c45068577b879d8190ffe99e692552c06811fe47#08c82f94-0c06-4df3-abe9-1a16a73906be.2.jpg,67.51,220.48
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/8c21824b5101a63b7694b24e094d173ed7da602e#4b4e0bfd-5a30-4a64-a5e6-89852458b307.5.jpg,148.8,261.34
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/ec8643702d7995f803297069c41f428d4981876b#913cba9f-a1e8-4aef-89aa-0b715e93d695.9.jpg,276.57,237.58
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/15eed0775f3795c472e27e1d77821775b563d0c3#1ac7dace-dff6-42b9-ae4d-deb4464d04c1.17.jpg,167.58,232.66
/media/ubuntu/data2/Fover_center/ROP/20200912/preprocess384/97bfa1aed2b6a9e6542023309d4cdd2aab54e97f#9b8b3106-d90f-4949-a1e9-b84ad3db2dca.10.jpg,318.6,203.08
