images,x,y
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0001.jpg,255.02,267.7
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0002.jpg,287.0,253.37
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0003.jpg,258.06,269.7
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0004.jpg,258.56,257.8
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0005.jpg,255.08,273.44
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0006.jpg,259.17,269.0
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0007.jpg,263.2,272.34
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0008.jpg,271.78,266.18
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0009.jpg,305.02,271.37
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0010.jpg,315.96,267.26
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0011.jpg,264.66,250.3
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0012.jpg,300.58,275.14
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0013.jpg,274.18,318.86
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0014.jpg,273.26,269.59
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0015.jpg,275.73,276.12
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0016.jpg,277.54,267.35
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0017.jpg,263.84,259.2
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0018.jpg,256.05,277.15
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0019.jpg,258.03,263.08
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0020.jpg,268.87,270.67
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0021.jpg,266.52,256.01
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0022.jpg,337.99,264.88
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0023.jpg,361.53,262.82
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0024.jpg,263.27,296.24
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0025.jpg,280.5,276.24
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0026.jpg,294.17,278.09
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0027.jpg,258.11,267.92
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0028.jpg,259.76,266.14
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0029.jpg,262.02,270.16
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0030.jpg,260.55,265.41
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0031.jpg,255.07,265.99
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0032.jpg,255.92,267.03
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0033.jpg,252.64,267.38
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0034.jpg,273.29,269.18
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0035.jpg,277.63,276.0
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0036.jpg,290.73,256.78
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0037.jpg,277.85,276.78
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0038.jpg,265.65,259.76
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0039.jpg,258.29,268.05
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/g0040.jpg,269.78,223.54
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0001.jpg,287.76,279.09
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0002.jpg,289.13,269.8
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0003.jpg,318.7,269.79
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0004.jpg,250.42,258.22
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0005.jpg,262.4,255.89
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0006.jpg,285.45,264.05
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0007.jpg,265.65,262.72
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0008.jpg,252.99,264.34
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0009.jpg,298.1,258.94
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0010.jpg,275.02,249.72
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0011.jpg,310.18,290.14
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0012.jpg,305.42,260.87
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0013.jpg,252.41,263.05
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0014.jpg,278.05,273.07
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0015.jpg,251.49,268.5
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0016.jpg,285.36,277.66
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0017.jpg,296.5,269.29
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0018.jpg,289.88,253.89
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0019.jpg,262.15,265.13
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0020.jpg,257.15,250.39
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0021.jpg,281.68,260.55
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0022.jpg,254.99,264.15
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0023.jpg,250.71,266.63
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0024.jpg,258.9,255.22
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0025.jpg,268.47,279.83
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0026.jpg,251.98,264.83
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0027.jpg,259.13,272.05
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0028.jpg,255.04,264.94
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0029.jpg,250.99,265.18
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0030.jpg,266.21,234.22
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0031.jpg,255.58,247.54
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0032.jpg,260.37,262.6
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0033.jpg,259.83,266.95
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0034.jpg,257.72,266.88
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0035.jpg,262.42,265.66
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0036.jpg,255.48,265.01
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0037.jpg,297.68,259.1
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0038.jpg,261.06,268.17
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0039.jpg,267.86,259.9
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0040.jpg,253.43,261.11
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0041.jpg,274.11,270.83
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0042.jpg,261.21,257.85
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0043.jpg,255.02,267.61
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0044.jpg,251.06,268.8
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0045.jpg,299.15,254.39
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0046.jpg,282.2,255.19
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0047.jpg,261.48,266.42
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0048.jpg,253.93,269.84
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0049.jpg,261.03,264.79
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0050.jpg,257.85,265.24
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0051.jpg,347.0,264.13
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0052.jpg,259.13,268.08
/media/ubuntu/data2/Fover_center/Refuge/preprocess512/n0053.jpg,270.62,271.05
